subclass,都道府県市区町村,UC有無,inoue_ratio_change,投票者数,total_vote,x
68,東京都豊島区,1,0.137805891,130777,228503,205
68,東京都台東区,0,0.071389986,97726,228503,205
137,愛知県豊橋市,1,0.063306563,147128,229986,206
137,三重県鈴鹿市,0,0.286766659,82858,229986,206
19,福島県郡山市,1,0.330734418,139166,231081,207
19,埼玉県春日部市,0,0.148638357,91915,231081,207
12,秋田県秋田市,1,-0.098146324,139773,234970,208
12,静岡県静岡市清水区,0,0.101876364,95197,234970,208
85,神奈川県横浜市戸塚区,1,0.138593352,132579,236005,209
85,神奈川県横浜市港南区,0,0.069264904,103426,236005,209
206,広島県福山市,1,0.24592806,169323,236143,210
206,三重県松阪市,0,0.039424719,66820,236143,210
249,北海道札幌市北区,1,0.213871109,125943,237894,211
249,北海道札幌市東区,0,0.212989726,111951,237894,211
101,富山県富山市,1,0.308727232,168331,238805,212
101,富山県高岡市,0,0.515803028,70474,238805,212
86,神奈川県横浜市青葉区,1,0.256033575,152337,241702,213
86,神奈川県川崎市麻生区,0,0.133408429,89365,241702,213
244,宮崎県宮崎市,1,0.114536613,152671,249325,214
244,福岡県北九州市八幡西区,0,0.059184229,96654,249325,214
43,埼玉県越谷市,1,0.101701904,141583,250167,215
43,神奈川県平塚市,0,0.041210593,108584,250167,215
60,東京都新宿区,1,0.082170008,153642,251368,216
60,東京都台東区,0,0.071389986,97726,251368,216
66,東京都中野区,1,0.078930953,156059,253785,217
66,東京都台東区,0,0.071389986,97726,253785,217
120,岐阜県岐阜市,1,0.200357198,157303,253957,218
120,福岡県北九州市八幡西区,0,0.059184229,96654,253957,218
90,神奈川県相模原市南区,1,0.318515092,130353,255233,219
90,東京都府中市,0,0.152515401,124880,255233,219
138,愛知県岡崎市,1,0.04407165,174785,257643,220
138,三重県鈴鹿市,0,0.286766659,82858,257643,220
41,埼玉県所沢市,1,0.138070024,154944,258370,221
41,神奈川県横浜市港南区,0,0.069264904,103426,258370,221
166,大阪府豊中市,1,0.224624024,180194,266088,222
166,兵庫県伊丹市,0,0.082750645,85894,266088,222
216,香川県高松市,1,0.197137061,171899,268553,223
216,福岡県北九州市八幡西区,0,0.059184229,96654,268553,223
167,大阪府吹田市,1,0.088951162,180964,274717,224
167,東京都小平市,0,0.193607245,93753,274717,224
178,兵庫県尼崎市,1,0.096345803,189874,275768,225
178,兵庫県伊丹市,0,0.082750645,85894,275768,225
174,大阪府東大阪市,1,0.131060905,195344,276246,226
174,大阪府大阪市平野区,0,0.040937628,80902,276246,226
219,愛媛県松山市,1,0.304941135,189365,286019,227
219,福岡県北九州市八幡西区,0,0.059184229,96654,286019,227
91,神奈川県横須賀市,1,0.119002553,169171,286660,228
91,神奈川県相模原市中央区,0,0.230316648,117489,286660,228
145,愛知県豊田市,1,0.05845856,207691,290549,229
145,三重県鈴鹿市,0,0.286766659,82858,290549,229
87,神奈川県川崎市中原区,1,0.137970845,125518,292719,230
87,神奈川県横浜市港北区,0,0.053415608,167201,292719,230
242,大分県大分市,1,0.254158731,199316,295970,231
242,福岡県北九州市八幡西区,0,0.059184229,96654,295970,231
53,千葉県柏市,1,0.103182945,182115,299604,232
53,神奈川県相模原市中央区,0,0.230316648,117489,299604,232
177,兵庫県姫路市,1,0.050772024,203389,303982,233
177,大阪府寝屋川市,0,0.096857392,100593,303982,233
51,千葉県松戸市,1,0.119058919,203000,304327,234
51,埼玉県草加市,0,0.115108972,101327,304327,234
32,群馬県前橋市,1,0.359086363,129919,313705,235
32,大阪府枚方市,0,0.047570307,183786,313705,235
92,神奈川県藤沢市,1,-0.090345942,199074,316563,236
92,神奈川県相模原市中央区,0,0.230316648,117489,316563,236
139,愛知県一宮市,1,0.189155847,154459,322672,237
139,大阪府高槻市,0,0.043608425,168213,322672,237
105,石川県金沢市,1,0.238077707,155873,324086,238
105,大阪府高槻市,0,0.043608425,168213,324086,238
73,東京都葛飾区,1,0.198492861,200177,324387,239
73,神奈川県横浜市鶴見区,0,-0.013649765,124210,324387,239
154,滋賀県大津市,1,0.188208196,156879,325092,240
154,大阪府高槻市,0,0.043608425,168213,325092,240
246,鹿児島県鹿児島市,1,0.086532672,229033,325687,241
246,福岡県北九州市八幡西区,0,0.059184229,96654,325687,241
62,東京都目黒区,1,0.061186966,138248,335172,242
62,東京都品川区,0,-0.006231859,196924,335172,242
111,長野県長野市,1,0.454559902,171850,340063,243
111,大阪府高槻市,0,0.043608425,168213,340063,243
182,奈良県奈良市,1,0.108351405,171854,340067,244
182,大阪府高槻市,0,0.043608425,168213,340067,244
33,群馬県高崎市,1,0.495960591,157001,340787,245
33,大阪府枚方市,0,0.047570307,183786,340787,245
198,岡山県倉敷市,1,0.241777201,178141,346354,246
198,大阪府高槻市,0,0.043608425,168213,346354,246
80,東京都町田市,1,0.140605622,197859,366072,247
80,大阪府高槻市,0,0.043608425,168213,366072,247
26,栃木県宇都宮市,1,0.216934727,204192,372405,248
26,大阪府高槻市,0,0.043608425,168213,372405,248
75,東京都八王子市,1,0.137885457,260795,378284,249
75,神奈川県相模原市中央区,0,0.230316648,117489,378284,249
